Date,Open,High,Low,Close,Adj Close,Volume
2017-11-16,48.400002,48.450001,48.160000,48.270000,48.270000,712100
2017-11-17,48.119999,48.389999,48.119999,48.279999,48.279999,614100
2017-11-20,48.340000,48.410000,48.230000,48.340000,48.340000,767900
2017-11-21,48.330002,48.439999,48.240002,48.349998,48.349998,984100
2017-11-22,49.180000,49.259998,48.970001,49.180000,49.180000,1168900
2017-11-24,49.099998,49.150002,48.990002,49.040001,49.040001,420100
2017-11-27,49.230000,49.400002,49.040001,49.040001,49.040001,929700
2017-11-28,49.369999,49.889999,49.240002,49.830002,49.830002,1736900
2017-11-29,49.860001,50.070000,49.500000,49.790001,49.790001,1701700
2017-11-30,49.830002,49.980000,49.560001,49.650002,49.650002,1995200
2017-12-01,49.549999,49.740002,49.160000,49.560001,49.560001,1770900
2017-12-04,49.529999,49.619999,49.250000,49.340000,49.340000,1190000
2017-12-05,49.259998,49.340000,49.040001,49.080002,49.080002,1151600
2017-12-06,48.599998,48.660000,48.459999,48.549999,48.549999,1185300
2017-12-07,48.459999,48.919998,48.419998,48.820000,48.820000,1201300
2017-12-08,49.279999,49.419998,49.049999,49.369999,49.369999,1249400
2017-12-11,49.930000,50.279999,49.930000,50.200001,50.200001,1830100
2017-12-12,50.200001,50.630001,50.180000,50.549999,50.549999,1019400
2017-12-13,51.459999,51.709999,51.380001,51.439999,51.439999,2272400
2017-12-14,50.939999,51.099998,50.860001,50.910000,50.910000,1425600
2017-12-15,50.250000,50.310001,50.090000,50.169998,50.169998,1374212
