Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,94.629997,94.699997,92.720001,93.760002,93.760002,4745700
2017-11-16,94.440002,95.169998,93.279999,94.470001,94.470001,4301600
2017-11-17,93.800003,94.489998,93.570000,93.610001,93.610001,3386400
2017-11-20,93.919998,94.309998,92.889999,93.599998,93.599998,4352200
2017-11-21,93.699997,95.400002,93.599998,94.680000,94.680000,4346200
2017-11-22,94.690002,95.400002,94.220001,94.470001,94.470001,2560700
2017-11-24,94.000000,94.970001,93.550003,94.720001,94.720001,1932900
2017-11-27,94.690002,95.629997,94.440002,95.419998,95.419998,3044600
2017-11-28,95.940002,96.889999,94.830002,95.419998,95.419998,5105400
2017-11-29,95.760002,96.349998,95.029999,95.820000,95.820000,4081400
2017-11-30,96.360001,97.529999,96.209999,96.919998,96.919998,7889600
2017-12-01,97.190002,98.519997,94.300003,96.320000,96.320000,4823200
2017-12-04,96.370003,96.650002,94.650002,95.220001,95.220001,4934400
2017-12-05,96.279999,96.720001,95.000000,95.410004,95.410004,5553000
2017-12-06,95.699997,95.790001,93.470001,94.400002,94.400002,5114200
2017-12-07,94.029999,94.570000,92.900002,94.239998,94.239998,4524500
2017-12-08,95.680000,96.540001,94.620003,95.949997,95.949997,5297000
2017-12-11,96.389999,97.309998,95.769997,96.470001,96.470001,4181100
2017-12-12,95.720001,96.690002,94.760002,96.300003,96.300003,4195200
2017-12-13,96.599998,98.870003,96.599998,97.349998,97.349998,6148700
2017-12-14,97.330002,97.440002,95.650002,96.300003,96.300003,3937100
2017-12-15,96.860001,97.879997,96.639999,97.449997,97.449997,11564691
