Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,139.229996,139.830002,138.750000,139.100006,138.253372,4811500
2017-11-16,139.419998,139.679993,138.639999,138.869995,138.024765,4193800
2017-11-17,138.300003,138.860001,137.889999,138.000000,137.160065,4247400
2017-11-20,138.149994,138.559998,137.740005,137.929993,137.090485,4266300
2017-11-21,138.449997,139.259995,138.190002,138.339996,137.497986,5660600
2017-11-22,138.300003,138.380005,136.600006,137.289993,136.454376,3917000
2017-11-24,137.500000,138.380005,137.309998,138.009995,137.169998,2606800
2017-11-27,137.509995,138.309998,137.479996,138.100006,138.100006,3933100
2017-11-28,138.300003,140.529999,138.250000,140.020004,140.020004,5052800
2017-11-29,140.220001,140.630005,138.949997,139.809998,139.809998,5851400
2017-11-30,140.059998,140.279999,138.479996,139.330002,139.330002,8941900
2017-12-01,139.570007,140.529999,138.600006,139.979996,139.979996,5990500
2017-12-04,140.619995,141.500000,138.929993,139.009995,139.009995,5916700
2017-12-05,139.789993,140.809998,139.199997,139.669998,139.669998,6745300
2017-12-06,140.839996,141.960007,140.190002,141.059998,141.059998,5591700
2017-12-07,140.009995,141.500000,139.259995,140.009995,140.009995,4713100
2017-12-08,140.000000,140.759995,139.800003,140.589996,140.589996,5101300
2017-12-11,140.899994,141.169998,139.830002,141.139999,141.139999,4358600
2017-12-12,142.600006,143.570007,142.039993,142.600006,142.600006,8016700
2017-12-13,142.500000,143.429993,142.210007,142.889999,142.889999,6118400
2017-12-14,143.520004,143.619995,141.610001,141.649994,141.649994,5333900
2017-12-15,142.479996,143.139999,141.779999,142.460007,142.460007,12516980
