Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,82.750000,82.900002,82.570000,82.599998,82.599998,838900
2017-11-16,83.029999,83.370003,82.930000,83.019997,83.019997,1216800
2017-11-17,83.650002,84.300003,83.239998,83.980003,83.980003,1545700
2017-11-20,84.000000,84.040001,83.190002,83.220001,83.220001,4008600
2017-11-21,83.900002,84.550003,83.900002,84.279999,84.279999,1944500
2017-11-22,85.050003,85.209999,84.279999,84.480003,84.480003,1540400
2017-11-24,85.180000,85.349998,84.900002,85.080002,85.080002,734000
2017-11-27,85.089996,85.110001,84.489998,84.519997,84.519997,836800
2017-11-28,85.019997,85.480003,84.739998,85.370003,85.370003,1306200
2017-11-29,85.010002,85.360001,84.959999,85.150002,85.150002,1004500
2017-11-30,85.570000,86.040001,85.330002,85.800003,85.800003,927400
2017-12-01,85.580002,86.160004,85.580002,86.050003,86.050003,1178700
2017-12-04,86.000000,86.129997,84.849998,84.879997,84.879997,998000
2017-12-05,83.809998,84.230003,83.720001,83.839996,83.839996,1017600
2017-12-06,83.410004,83.540001,82.949997,83.180000,83.180000,1256800
2017-12-07,82.610001,83.089996,82.529999,82.879997,82.879997,691600
2017-12-08,83.220001,84.180000,83.199997,83.959999,83.959999,1054200
2017-12-11,83.830002,84.089996,83.680000,83.800003,83.800003,1126500
2017-12-12,83.820000,84.570000,83.769997,84.459999,84.459999,980700
2017-12-13,84.930000,85.099998,84.459999,84.660004,84.660004,879300
2017-12-14,84.820000,84.930000,84.440002,84.470001,84.470001,891000
2017-12-15,84.430000,84.949997,84.300003,84.860001,84.860001,1281851
