Date,Open,High,Low,Close,Adj Close,Volume
2017-11-16,72.110001,72.320000,71.510002,71.669998,71.669998,12415600
2017-11-17,71.160004,71.830002,70.940002,71.330002,71.330002,11813000
2017-11-20,71.769997,72.300003,71.279999,72.050003,72.050003,10000000
2017-11-21,72.500000,72.589996,72.129997,72.379997,72.379997,9632100
2017-11-22,72.449997,73.150002,72.260002,72.260002,72.260002,9146200
2017-11-24,72.410004,72.519997,71.989998,72.019997,72.019997,4676100
2017-11-27,71.989998,72.360001,71.309998,71.389999,71.389999,12615200
2017-11-28,71.440002,74.000000,71.129997,73.699997,73.699997,18048300
2017-11-29,75.129997,75.769997,74.050003,75.040001,75.040001,21876400
2017-11-30,75.730003,76.889999,75.150002,75.500000,75.500000,23179600
2017-12-01,75.709999,76.239998,73.779999,75.510002,75.510002,18269800
2017-12-04,77.019997,77.919998,76.620003,77.099998,77.099998,23151400
2017-12-05,76.980003,77.279999,76.190002,76.540001,76.540001,16045900
2017-12-06,76.239998,76.500000,75.089996,75.440002,75.440002,16612500
2017-12-07,74.669998,75.320000,74.260002,74.980003,74.980003,19173400
2017-12-08,75.059998,75.720001,74.970001,75.709999,75.709999,12460900
2017-12-11,75.940002,76.129997,75.529999,75.849998,75.849998,10461700
2017-12-12,76.040001,76.800003,75.519997,76.150002,76.150002,18381900
2017-12-13,75.949997,76.320000,75.050003,75.139999,75.139999,20231600
2017-12-14,75.230003,75.430000,73.779999,73.919998,73.919998,22750400
2017-12-15,74.449997,75.150002,74.269997,74.769997,74.769997,37120861
