Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,83.470001,83.690002,82.690002,82.980003,82.980003,19383100
2017-11-16,83.099998,83.419998,82.940002,83.199997,83.199997,20962800
2017-11-17,83.120003,83.120003,82.239998,82.400002,82.400002,22079000
2017-11-20,82.400002,82.589996,82.250000,82.529999,82.529999,16315000
2017-11-21,82.739998,83.839996,82.739998,83.720001,83.720001,21237500
2017-11-22,83.830002,83.900002,83.040001,83.110001,83.110001,20553100
2017-11-24,83.010002,83.430000,82.779999,83.260002,83.260002,7425600
2017-11-27,83.309998,83.980003,83.300003,83.870003,83.870003,18265200
2017-11-28,84.070000,85.059998,84.019997,84.879997,84.879997,21926000
2017-11-29,84.709999,84.919998,83.180000,83.339996,83.339996,27381100
2017-11-30,83.510002,84.519997,83.339996,84.169998,84.169998,33054600
2017-12-01,83.599998,84.809998,83.220001,84.260002,84.260002,29532100
2017-12-04,84.419998,84.430000,80.699997,81.080002,81.080002,39094900
2017-12-05,81.339996,82.680000,80.980003,81.589996,81.589996,26152300
2017-12-06,81.550003,83.139999,81.430000,82.779999,82.779999,26162100
2017-12-07,82.540001,82.800003,82.000000,82.489998,82.489998,23184500
2017-12-08,83.629997,84.580002,83.330002,84.160004,84.160004,24489100
2017-12-11,84.290001,85.370003,84.120003,85.230003,85.230003,22857900
2017-12-12,85.309998,86.050003,85.080002,85.580002,85.580002,23924100
2017-12-13,85.739998,86.000000,85.169998,85.349998,85.349998,22062700
2017-12-14,85.430000,85.870003,84.529999,84.690002,84.690002,19302400
2017-12-15,85.260002,87.089996,84.879997,86.849998,86.849998,49609940
