Date,Open,High,Low,Close,Adj Close,Volume
2017-11-16,49.110001,49.619999,49.009998,49.200001,49.200001,11738500
2017-11-17,49.000000,49.230000,48.849998,48.939999,48.939999,10035100
2017-11-20,49.040001,49.160000,48.919998,49.020000,49.020000,11525100
2017-11-21,49.000000,49.099998,48.500000,48.630001,48.630001,18313300
2017-11-22,48.560001,48.830002,48.419998,48.580002,48.580002,10618900
2017-11-24,48.880001,49.130001,48.689999,49.009998,49.009998,6008300
2017-11-27,48.939999,49.220001,48.750000,48.880001,48.880001,13395600
2017-11-28,48.880001,49.200001,48.849998,49.009998,49.009998,13930600
2017-11-29,48.849998,48.860001,48.200001,48.520000,48.520000,14377600
2017-11-30,48.889999,49.330002,48.889999,49.060001,49.060001,24701100
2017-12-01,49.049999,50.000000,48.900002,49.610001,49.610001,15899500
2017-12-04,49.820000,49.820000,48.360001,48.400002,48.400002,13473900
2017-12-05,48.439999,48.650002,47.970001,47.990002,47.990002,17858900
2017-12-06,48.259998,48.590000,47.630001,48.419998,48.419998,12974500
2017-12-07,48.619999,48.810001,48.299999,48.520000,48.520000,13482800
2017-12-08,48.900002,49.689999,48.700001,49.599998,49.599998,14732300
2017-12-11,49.610001,50.500000,49.560001,50.470001,50.470001,15852800
2017-12-12,50.000000,50.709999,49.950001,50.389999,50.389999,17464000
2017-12-13,50.330002,50.509998,50.009998,50.049999,50.049999,17196900
2017-12-14,50.139999,50.400002,49.939999,50.189999,50.189999,21482900
2017-12-15,48.480000,48.480000,47.000000,48.299999,48.299999,75176011
